username,GTS,cluster_name,username,followers,following,public_repos_reported,public_gists,account_age_days,profile_updated_days_ago,has_bio,has_company,has_blog,hireable,site_admin,repos_fetched,total_stars,avg_stars,total_forks,avg_forks,total_watchers,avg_watchers,total_open_issues,avg_open_issues,avg_repo_size_kb,median_repo_size_kb,fork_ratio,archived_ratio,disabled_ratio,has_pages_ratio,has_issues_ratio,unique_languages,top_language_share,days_since_last_push,days_since_last_repo_update,events_fetched,events_PushEvent,events_PullRequestEvent,events_PullRequestReviewEvent,events_IssuesEvent,events_IssueCommentEvent,events_CreateEvent,events_ForkEvent,events_WatchEvent,days_since_last_event,log_followers,log_total_stars,log_total_forks,log_total_watchers,follower_following_ratio,cluster_label,cluster_name,GTS
smorimoto,92.05228854954933,Strong,smorimoto,960,259,379,7,2851.691011,1.125154635,1,1,1,1,0,30,11,0.366666667,3,0.1,11,0.366666667,0,0.0,765.1,31.0,0.933333333,0.0,0.0,0.0,0.066666667,2,0.5,82.30336065,89.83961065,30,10,9,0,1,0,4,0,1,0.627978709,6.867974409,2.48490665,1.386294361,2.48490665,3.692307692,2,Strong,92.05228854954933
tusharsadhwani,92.04097310344214,Strong,tusharsadhwani,362,35,201,12,2705.350125,19.23355052,1,1,1,0,0,30,55,1.833333333,14,0.466666667,55,1.833333333,29,0.966666667,4520.633333,80.5,0.3,0.0,0.0,0.1,0.7,7,0.590909091,67.30933756,67.30917552,30,18,3,1,1,3,1,0,3,4.187462562,5.894402834,4.025351691,2.708050201,4.025351691,10.05555556,2,Strong,92.04097310344214
craftzdog,91.9067598563446,Strong,craftzdog,11541,60,161,34,5143.70843,29.41853383,1,1,1,1,0,30,241,8.033333333,51,1.7,241,8.033333333,8,0.266666667,15633.83333,257.5,0.833333333,0.0,0.0,0.0,0.166666667,8,0.304347826,396.9825153,49.10052457,30,22,1,0,0,1,2,0,3,3.76741114,9.353747835,5.488937726,3.951243719,5.488937726,189.1967213,2,Strong,91.9067598563446
hyoban,91.8641789349173,Strong,hyoban,481,0,130,3,2859.511982,20.45611349,1,1,1,1,0,30,114,3.8,11,0.366666667,114,3.8,2,0.066666667,29735.96667,1350.0,0.833333333,0.033333333,0.0,0.0,0.166666667,4,0.833333333,0.542629695,1.556530158,30,15,3,6,0,0,2,0,1,0.313787102,6.177944114,4.744932128,2.48490665,4.744932128,481.0,2,Strong,91.8641789349173
Innei,91.6728891256632,Strong,Innei,3256,267,302,26,2771.336959,4.236531077,1,1,1,1,0,30,187,6.233333333,39,1.3,187,6.233333333,57,1.9,18055.26667,268.5,0.533333333,0.2,0.0,0.1,0.433333333,7,0.5,0.320952374,5.185350522,30,17,8,0,0,0,3,0,0,0.154771818,8.088561805,5.236441963,3.688879454,5.236441963,12.14925373,2,Strong,91.6728891256632
munificent,91.48043676644062,Strong,munificent,10862,144,51,56,6241.26387,3.396902768,1,1,1,0,0,30,18840,628.0,2215,73.83333333,18840,628.0,287,9.566666667,8851.966667,236.0,0.166666667,0.266666667,0.0,0.033333333,0.833333333,8,0.28,2.257747675,0.913326379,30,4,2,4,6,9,1,0,0,1.271416656,9.293117798,9.843790625,7.703459048,9.843790625,74.91034483,2,Strong,91.48043676644062
AllenDowney,91.30000985815535,Strong,AllenDowney,10771,1,160,27,4985.157519,20.26163921,1,1,1,1,0,30,1198,39.93333333,665,22.16666667,1198,39.93333333,25,0.833333333,26417.0,14628.0,0.333333333,0.0,0.0,0.366666667,0.666666667,6,0.714285714,4.851488747,5.013757265,30,7,1,1,11,9,0,0,0,1.086361432,9.284705454,7.089243155,6.501289671,7.089243155,5385.5,2,Strong,91.30000985815535
davidfowl,91.18189024735483,Strong,davidfowl,14116,9,282,176,6089.979588,3.276764092,1,1,1,0,1,30,979,32.63333333,123,4.1,979,32.63333333,20,0.666666667,7963.1,179.0,0.366666667,0.0,0.0,0.0,0.633333333,5,0.826086957,17.91243539,1.13016687,30,10,1,6,2,4,0,0,0,1.021000204,9.555135024,6.887552572,4.820281566,6.887552572,1411.6,2,Strong,91.18189024735483
yifanzhang-pro,91.17872358290349,Strong,yifanzhang-pro,268,144,38,0,2949.821865,13.76614765,1,1,1,1,0,30,618,20.6,48,1.6,618,20.6,2,0.066666667,34181.56667,688.5,0.3,0.0,0.0,0.333333333,0.7,4,0.714285714,8.330950886,1.973751812,30,18,1,0,1,2,1,0,4,3.275372183,5.59471138,6.428105273,3.891820298,6.428105273,1.848275862,2,Strong,91.17872358290349
sethforprivacy,91.06272789149816,Strong,sethforprivacy,400,167,60,7,2794.172711,30.30859026,1,1,1,0,0,30,53,1.766666667,13,0.433333333,53,1.766666667,48,1.6,65587.93333,2299.5,0.833333333,0.033333333,0.0,0.0,0.2,11,0.210526316,1.225847201,1.313370349,30,18,2,0,3,4,1,0,2,1.313092571,5.993961427,3.988984047,2.63905733,3.988984047,2.380952381,2,Strong,91.06272789149816
shanselman,91.04093340000088,Strong,shanselman,12214,34,246,49,6548.712641,73.73011822,1,1,1,0,1,30,604,20.13333333,199,6.633333333,604,20.13333333,60,2.0,114167.6667,2148.0,0.466666667,0.033333333,0.0,0.0,0.533333333,8,0.363636364,1.904782567,1.479944604,30,4,2,0,15,9,0,0,0,0.594655252,9.410419984,6.405228458,5.298317367,6.405228458,348.9714286,2,Strong,91.04093340000088
t3dotgg,90.9644890796684,Strong,t3dotgg,16612,61,127,16,4376.035434,59.51090893,1,1,1,1,0,30,968,32.26666667,146,4.866666667,968,32.26666667,52,1.733333333,1532603.633,117.5,0.1,0.0,0.0,0.0,0.9,6,0.615384615,39.82110568,7.692633462,30,5,1,0,2,0,2,0,20,8.790087166,9.7179408,6.876264612,4.990432587,6.876264612,267.9354839,2,Strong,90.9644890796684
